Symbol;Company Name;Last Price;Change (%);Market Cap;Price/Sales;P/E Ratio (TTM);Forward P/E;Price / Book;Short Ratio;Pre-Mkt Chg %;Post-Mkt Chg %;PEG Ratio (5yr expected);Volume;Avg Vol (10 days);Avg Vol (3M);Shares Out;EPS (TTM);Fwd Ann Div Yield;Trl Ann Div Yield;Book Val;EBITDA;Earnings Date;52-DMA Chg %;200-DMA Chg %;1yr Target Est;EPS Est. Next Yr;EPS Current Year;52-Wk High Chg %;52-Wk Low Chg %;Trl Ann Div Rate;
DDOG;Datadog, Inc.;164.07;+9.06%;55.66B;21.95;303.41;80.71;21.10;2.78;+1.51%;--;--;2.447M;6.171M;3.923M;313.214M;0.54;--;0.00%;7.76;115.851M;2025/02/11 - 2025/02/17;+26.98%;+33.86%;152.93;2.03;1.77;-0.08%;+65.83%;0.00;
JD;JD.com, Inc.;35.67;-1.42%;57.871B;0.05;11.51;8.62;0.24;1.82;-1.86%;--;--;3.386M;9.397M;17.582M;1.45B;3.10;2.28%;0.00%;147.79;42.678B;2025/03/04 - 2025/03/10;-9.14%;+17.11%;356.00;4.14;28.79;-25.38%;+71.40%;0.00;
NKE;NIKE, Inc.;77.94;-0.91%;115.976B;2.32;22.33;24.12;8.33;2.64;-1.46%;--;--;4.777M;11.367M;11.582M;1.191B;3.49;2.03%;1.88%;9.35;7.201B;2024/12/19 - 2024/12/19;-2.66%;-9.59%;90.77;3.23;2.75;-36.85%;+10.13%;1.48;
KO;The Coca-Cola Company;62.57;-0.95%;269.453B;5.81;25.95;21.06;10.17;2.27;-0.50%;--;--;3.117M;18.857M;14.958M;4.308B;2.41;3.05%;3.01%;6.15;14.831B;2025/02/05 - 2025/02/10;-6.48%;-3.47%;74.26;2.97;2.85;-14.93%;+8.84%;1.91;
WMT;Walmart Inc.;93.53;+0.01%;751.536B;1.13;38.63;34.37;8.98;2.59;-0.09%;--;--;2.72M;19.931M;15.355M;8.038B;2.42;0.99%;0.00%;10.41;40.779B;2025/02/20 - 2025/02/20;+11.80%;+32.35%;96.04;2.72;2.48;-0.17%;+87.57%;0.00;
COST;Costco Wholesale Corporation;983.02;+1.25%;435.548B;1.71;59.22;49.95;18.44;3.74;-0.02%;--;--;268,026;1.842M;1.836M;443.074M;16.60;0.47%;0.44%;53.31;11.522B;2024/12/12 - 2024/12/12;+8.13%;+18.16%;939.89;19.68;17.85;-0.17%;+62.79%;4.36;
BEPC;Brookfield Renewable Corporation;31.25;-0.44%;5.626B;1.18;--;142.05;2.29;4.39;+1.39%;--;--;68,823;917,46;945,225;179.641M;-7.08;4.48%;4.48%;13.65;2.913B;2025/01/31 - 2025/02/04;-0.95%;+9.40%;33.50;0.22;-1.04;-11.07%;+46.37%;1.42;
GE;GE Aerospace;181.53;+0.45%;196.468B;2.81;35.73;34.64;10.41;2.45;-0.12%;--;--;724,648;3.852M;4.477M;1.082B;5.08;0.62%;0.51%;17.44;8.935B;2025/01/21 - 2025/01/27;-0.72%;+10.75%;209.83;5.24;4.31;-6.81%;+92.48%;0.92;
AVAV;AeroVironment, Inc.;195.24;+1.11%;5.507B;7.30;93.42;45.19;6.47;4.79;+0.75%;--;--;81,845;473,45;352,525;28.204M;2.09;--;0.00%;30.19;108.064M;2024/12/04 - 2024/12/04;-6.55%;+7.30%;227.28;4.32;3.38;-17.48%;+67.57%;0.00;
AFRM;Affirm Holdings, Inc.;71.67;+1.29%;22.499B;8.91;--;152.43;7.93;1.79;+0.20%;--;--;1.498M;9.109M;10.411M;271.918M;-1.41;--;0.00%;9.03;-291.773M;2025/02/06 - 2025/02/10;+43.82%;+92.17%;55.89;0.47;-1.26;-0.64%;+221.98%;0.00;
NEE;NextEra Energy, Inc.;75.55;-0.97%;155.412B;5.92;22.43;20.54;3.11;2.82;-0.55%;--;--;1.98M;9.949M;10.535M;2.056B;3.37;2.70%;2.64%;24.34;14.578B;2025/01/23 - 2025/01/27;-5.67%;+2.93%;87.19;3.68;3.42;-12.22%;+40.08%;2.01;
DQ;Daqo New Energy Corp.;21.18;-2.15%;1.393B;1.06;--;-16.55;0.30;1.67;-2.49%;--;--;220,928;759,22;1.478M;65.76M;-1.68;--;0.00%;70.97;9.873M;2025/02/26 - 2025/03/03;+1.07%;+5.96%;25.73;-1.28;-2.10;-31.33%;+55.54%;0.00;
XPEV;XPeng Inc.;12.51;-1.41%;11.705B;0.32;--;-27.80;0.32;2.14;+0.47%;--;--;2.106M;12.9M;15.231M;773.158M;-1.21;--;0.00%;38.56;-6.45B;2024/11/19 - 2024/11/19;+2.93%;+36.26%;105.37;-0.45;-5.84;-26.32%;+90.98%;0.00;
ASTS;AST SpaceMobile, Inc.;22.98;+0.31%;6.658B;4,755.79;--;-32.37;20.93;3.65;+0.44%;--;--;1.212M;7.779M;12.191M;200.345M;-2.26;--;0.00%;1.10;-159.378M;2024/11/14 - 2024/11/14;-7.45%;+54.57%;35.94;-0.71;-1.71;-41.20%;+1,066.50%;0.00;
OKLO;Oklo Inc.;20.92;+3.92%;2.862B;--;--;-53.64;-1.70;0.69;+4.62%;--;--;3.005M;14.071M;15.342M;136.796M;-0.12;--;0.00%;-12.28;-36.925M;2024/11/14 - 2024/11/14;+17.57%;+78.78%;21.33;-0.39;-3.11;-25.60%;+291.03%;0.00;
TXG;10x Genomics, Inc.;15.91;+0.60%;1.927B;3.06;--;-13.05;2.66;3.39;+1.80%;--;--;83,813;2.129M;2.003M;106.998M;-1.52;--;0.00%;5.97;-134.769M;2025/02/13 - 2025/02/17;-5.15%;-34.38%;20.29;-1.22;-0.66;-72.51%;+22.90%;0.00;
VKTX;Viking Therapeutics, Inc.;49.80;-0.92%;5.55B;--;--;-32.98;6.09;2.85;+0.84%;--;--;505,816;3.542M;4.216M;111.436M;-0.94;--;0.00%;8.18;--;2025/02/05 - 2025/02/10;-19.75%;-20.96%;110.00;-1.51;-0.95;-49.90%;+198.20%;0.00;
VHAI;--;0.0054;0.00%;773,658;58.35;--;--;-1.08;--;--;--;--;127,655;3.38M;9.492M;0;-0.0900;--;0.00%;-0.00;-6.553M;--;-21.14%;-24.98%;--;--;--;-67.86%;+54.29%;0.00;
LLAP;Terran Orbital Corporation;0.2500;+0.36%;51.215M;0.38;--;-0.54;-0.21;1.83;--;--;-0.01;18.411M;6.804M;5.29M;204.862M;-0.7800;--;0.00%;-1.17;-96.661M;2024/11/12 - 2024/11/18;-0.18%;-68.21%;0.33;-0.46;-0.76;-84.52%;+9.65%;0.00;
LUNR;Intuitive Machines, Inc.;12.35;-12.71%;998.737M;6.33;--;-88.23;-0.99;1.72;-18.73%;--;--;20.715M;20.445M;19.256M;80.858M;-2.22;--;0.00%;-12.52;-60.103M;2024/11/14 - 2024/11/14;+28.43%;+97.65%;17.00;-0.14;-0.33;-27.94%;+491.28%;0.00;
NTNX;Nutanix, Inc.;68.17;+3.27%;18.258B;8.50;--;36.26;-24.83;3.34;+1.80%;--;--;440,717;4.857M;2.249M;267.836M;-0.34;--;0.00%;-2.75;95.641M;2025/02/26 - 2025/03/03;+4.92%;+12.93%;81.82;1.88;1.50;-10.07%;+57.25%;0.00;
APLD;Applied Digital Corporation;9.46;-1.17%;1.998B;10.52;--;-27.82;6.16;2.92;+2.51%;--;--;7.846M;18.85M;17.574M;211.246M;-1.23;--;0.00%;1.54;15.068M;2025/01/14 - 2025/01/20;+17.81%;+77.35%;11.14;-0.34;-0.45;-13.54%;+300.78%;0.00;
BHAT;Blue Hat Interactive Entertainment Technology;0.1419;-6.27%;8.287M;0.11;--;--;0.20;0.15;-0.73%;--;--;2.41M;1.1M;445,414;58.398M;-0.9800;--;0.00%;0.70;-27.37M;2024/04/30 - 2024/04/30;-45.23%;-81.56%;--;--;--;-90.21%;+19.24%;0.00;
NNOX;Nano-X Imaging Ltd.;6.24;+3.75%;365.177M;36.06;--;-11.14;1.84;10.11;+0.25%;--;--;425,983;1.565M;961,669;58.522M;-0.86;--;0.00%;3.38;-45.832M;2024/11/21 - 2024/11/21;+2.96%;-20.64%;12.00;-0.56;-0.58;-56.30%;+18.63%;0.00;
BBAI;BigBear.ai Holdings, Inc.;2.7292;-3.56%;683.899M;4.41;--;-13.65;6.93;3.66;-1.77%;--;--;12.792M;20.776M;6.768M;250.586M;-0.7800;--;0.00%;0.39;-29.966M;2024/11/05 - 2024/11/05;+54.38%;+57.28%;2.62;-0.20;--;-43.08%;+134.27%;0.00;
SOUN;SoundHound AI, Inc.;9.64;+8.50%;3.516B;52.24;--;-47.54;11.86;2.46;+4.05%;--;--;27.953M;54.518M;28.395M;337.015M;-0.35;--;0.00%;0.80;-84.857M;2025/02/26 - 2025/03/03;+60.16%;+81.29%;8.07;-0.20;-0.24;-7.23%;+486.96%;0.00;
ARM;Arm Holdings plc;142.82;+1.74%;150.463B;42.56;238.60;69.50;25.03;2.25;+1.89%;--;--;1.343M;4.022M;5.749M;1.051B;0.60;--;0.00%;5.72;520M;2024/11/06 - 2024/11/06;+0.04%;+5.81%;144.11;2.06;1.55;-24.15%;+135.12%;0.00;
FSLY;Fastly, Inc.;9.82;+4.58%;1.387B;2.56;--;494.25;1.43;3.50;+1.70%;--;--;1.117M;3.984M;2.814M;140.3M;-1.08;--;0.00%;6.92;-102.172M;2025/02/12 - 2025/02/17;+32.38%;+11.34%;7.85;0.02;-0.10;-61.79%;+79.08%;0.00;
IBM;International Business Machines Corporation;231.84;+1.24%;214.365B;3.43;33.75;21.85;8.77;4.73;+0.21%;--;--;531,683;4.107M;4.209M;924.645M;6.87;2.92%;2.91%;26.44;14.676B;2025/01/29 - 2025/01/30;+5.00%;+19.65%;214.21;10.61;10.21;-2.33%;+46.83%;6.66;
